MATNR	ZZVWERK
EM70000411	ASCO
EM70000412	ASCO
EM70000413	ASCO
EM70000414	ASCO
EM70000415	ASCO
EM70000416	ASCO
EM70000417	ASCO
EM70000418	ASCO
EM70000419	ASCO
EM70000420	ASCO
EM70000421	ASCO
EM70000422	ASCO
EM70000423	ASCO
EM70000424	ASCO
EM70000425	ASCO
EM70000426	ASCO
EM70000427	ASCO
EM70000428	ASCO
EM70000429	ASCO
EM70000430	ASCO
EM70000431	ASCO
EM70000432	ASCO
EM70000433	ASCO
EM70000434	ASCO
EM70000435	ASCO
EM70000436	ASCO
EM70000437	ASCO
EM70000438	ASCO
EM70000439	ASCO
EM70000440	ASCO
EM70000441	ASCO
EM70000442	ASCO
EM70000443	ASCO
EM70000444	ASCO
EM70000445	ASCO
EM70000446	ASCO
EM70000447	ASCO
EM70000448	ASCO
EM70000449	ASCO
EM70000450	ASCO
EM70000451	ASCO
EM70000452	ASCO
EM70000453	ASCO
EM70000454	ASCO
EM70000455	ASCO
EM70000456	ASCO
EM70000457	ASCO
EM70000458	ASCO
EM70000459	ASCO
EM70000460	ASCO
EM70000461	ASCO
EM70000462	ASCO
EM70000463	ASCO
EM70000464	ASCO
EM70000465	ASCO
EM70000466	ASCO
EM70000467	ASCO
EM70000468	ASCO
EM70000469	ASCO
EM70000470	ASCO
EM70000471	ASCO
EM70000472	ASCO
EM70000473	ASCO
EM70000474	ASCO
EM70000475	ASCO
EM70000476	ASCO
EM70000477	ASCO
EM70000478	ASCO
EM70000479	ASCO
EM70000480	ASCO
EM70000481	ASCO
EM70000482	ASCO
EM70000483	ASCO
EM70000484	ASCO
EM70000485	ASCO
EM70000486	ASCO
EM70000487	ASCO
EM70000488	ASCO
EM70000489	ASCO
EM70000490	ASCO
EM70000491	ASCO
EM70000492	ASCO
EM70000493	ASCO
EM70000494	ASCO
EM70000495	ASCO
EM70000496	ASCO
EM70000497	ASCO
EM70000498	ASCO
EM70000499	ASCO
EM70000500	ASCO
EM70000501	ASCO
EM70000502	ASCO
EM70000503	ASCO
EM70000504	ASCO
EM70000505	ASCO
EM70000506	ASCO
EM70000507	ASCO
EM70000508	ASCO
EM70000509	ASCO
EM70000510	ASCO
EM70000511	ASCO
EM70000512	ASCO
EM70000513	ASCO
EM70000514	ASCO
EM70000515	ASCO
EM70000516	ASCO
EM70000517	ASCO
EM70000518	ASCO
EM70000519	ASCO
EM70000520	ASCO
EM70000521	ASCO
EM70000522	ASCO
EM70000523	ASCO
EM70000524	ASCO
EM70000525	ASCO
EM70000526	ASCO
EM70000527	ASCO
EM70000528	ASCO
EM70000529	ASCO
EM70000530	ASCO
EM70000531	ASCO
EM70000532	ASCO
EM70000533	ASCO
EM70000534	ASCO
EM70000535	ASCO
EM70000536	ASCO
EM70000537	ASCO
EM70000538	ASCO
EM70000539	ASCO
EM70000540	ASCO
EM70000541	ASCO
